UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 03:57 ?        00:00:28 /sbin/init
root           2       0  0 03:57 ?        00:00:00 [kthreadd]
root           3       2  0 03:57 ?        00:00:00 [pool_workqueue_release]
root           4       2  0 03:57 ?        00:00:00 [kworker/R-rcu_g]
root           5       2  0 03:57 ?        00:00:00 [kworker/R-rcu_p]
root           6       2  0 03:57 ?        00:00:00 [kworker/R-slub_]
root           7       2  0 03:57 ?        00:00:00 [kworker/R-netns]
root           9       2  0 03:57 ?        00:00:00 [kworker/0:0H-events_highpri]
root          12       2  0 03:57 ?        00:00:00 [kworker/R-mm_pe]
root          13       2  0 03:57 ?        00:00:00 [rcu_tasks_kthread]
root          14       2  0 03:57 ?        00:00:00 [rcu_tasks_rude_kthread]
root          15       2  0 03:57 ?        00:00:00 [rcu_tasks_trace_kthread]
root          16       2  0 03:57 ?        00:00:00 [ksoftirqd/0]
root          17       2  0 03:57 ?        00:00:02 [rcu_preempt]
root          18       2  0 03:57 ?        00:00:00 [migration/0]
root          19       2  0 03:57 ?        00:00:00 [idle_inject/0]
root          20       2  0 03:57 ?        00:00:00 [cpuhp/0]
root          21       2  0 03:57 ?        00:00:00 [cpuhp/1]
root          22       2  0 03:57 ?        00:00:00 [idle_inject/1]
root          23       2  0 03:57 ?        00:00:00 [migration/1]
root          24       2  0 03:57 ?        00:00:00 [ksoftirqd/1]
root          26       2  0 03:57 ?        00:00:00 [kworker/1:0H-events_highpri]
root          27       2  0 03:57 ?        00:00:00 [cpuhp/2]
root          28       2  0 03:57 ?        00:00:00 [idle_inject/2]
root          29       2  0 03:57 ?        00:00:00 [migration/2]
root          30       2  0 03:57 ?        00:00:00 [ksoftirqd/2]
root          32       2  0 03:57 ?        00:00:00 [kworker/2:0H-events_highpri]
root          33       2  0 03:57 ?        00:00:00 [cpuhp/3]
root          34       2  0 03:57 ?        00:00:00 [idle_inject/3]
root          35       2  0 03:57 ?        00:00:00 [migration/3]
root          36       2  0 03:57 ?        00:00:00 [ksoftirqd/3]
root          38       2  0 03:57 ?        00:00:00 [kworker/3:0H-kblockd]
root          39       2  0 03:57 ?        00:00:00 [kdevtmpfs]
root          40       2  0 03:57 ?        00:00:00 [kworker/R-inet_]
root          43       2  0 03:57 ?        00:00:00 [kauditd]
root          44       2  0 03:57 ?        00:00:00 [khungtaskd]
root          45       2  0 03:57 ?        00:00:00 [oom_reaper]
root          46       2  0 03:57 ?        00:00:00 [kworker/R-write]
root          47       2  0 03:57 ?        00:00:05 [kcompactd0]
root          48       2  0 03:57 ?        00:00:00 [ksmd]
root          49       2  0 03:57 ?        00:00:00 [khugepaged]
root          50       2  0 03:57 ?        00:00:00 [kworker/R-kinte]
root          51       2  0 03:57 ?        00:00:00 [kworker/R-kbloc]
root          52       2  0 03:57 ?        00:00:00 [kworker/R-blkcg]
root          53       2  0 03:57 ?        00:00:00 [kworker/R-tpm_d]
root          54       2  0 03:57 ?        00:00:00 [kworker/R-ata_s]
root          55       2  0 03:57 ?        00:00:00 [kworker/R-md]
root          56       2  0 03:57 ?        00:00:00 [kworker/R-md_bi]
root          57       2  0 03:57 ?        00:00:00 [kworker/R-edac-]
root          58       2  0 03:57 ?        00:00:00 [kworker/R-devfr]
root          60       2  0 03:57 ?        00:00:00 [watchdogd]
root          61       2  0 03:57 ?        00:00:00 [kworker/2:1H-kblockd]
root          63       2  0 03:57 ?        00:00:00 [kswapd0]
root          64       2  0 03:57 ?        00:00:00 [ecryptfs-kthread]
root          65       2  0 03:57 ?        00:00:00 [kworker/R-kthro]
root          66       2  0 03:57 ?        00:00:00 [irq/49-ACPI:Ged]
root          67       2  0 03:57 ?        00:00:00 [kworker/R-acpi_]
root          69       2  0 03:57 ?        00:00:00 [kworker/R-mld]
root          70       2  0 03:57 ?        00:00:00 [kworker/R-ipv6_]
root          77       2  0 03:57 ?        00:00:00 [kworker/R-kstrp]
root          79       2  0 03:57 ?        00:00:00 [kworker/u9:0]
root          83       2  0 03:57 ?        00:00:00 [kworker/R-charg]
root         111       2  0 03:57 ?        00:00:00 [kworker/0:1H-kblockd]
root         112       2  0 03:57 ?        00:00:00 [kworker/3:1H]
root         138       2  0 03:57 ?        00:00:00 [kworker/1:1H-kblockd]
root         140       2  0 03:57 ?        00:00:00 [hwrng]
root         207       2  0 03:57 ?        00:00:00 [kworker/R-raid5]
root         250       2  0 03:57 ?        00:00:02 [jbd2/vda2-8]
root         251       2  0 03:57 ?        00:00:00 [kworker/R-ext4-]
root         319       1  0 03:57 ?        00:00:04 /usr/lib/systemd/systemd-journald
root         342       2  0 03:57 ?        00:00:00 [kworker/R-kmpat]
root         343       2  0 03:57 ?        00:00:00 [kworker/R-kmpat]
root         371       1  0 03:57 ?        00:00:14 /sbin/multipathd -d -s
root         396       1  0 03:57 ?        00:00:00 /usr/lib/systemd/systemd-udevd
root         411       2  0 03:57 ?        00:00:00 [psimon]
root         492       2  0 03:57 ?        00:00:00 [scsi_eh_0]
root         493       2  0 03:57 ?        00:00:00 [kworker/R-scsi_]
root         494       2  0 03:57 ?        00:00:11 [usb-storage]
root         508       2  0 03:57 ?        00:00:00 [kworker/R-uas]
root         588       2  0 03:57 ?        00:00:00 [jbd2/vda3-8]
root         589       2  0 03:57 ?        00:00:00 [kworker/R-ext4-]
systemd+     634       1  0 03:57 ?        00:00:00 /usr/lib/systemd/systemd-networkd
systemd+     649       1  0 03:57 ?        00:00:32 /usr/lib/systemd/systemd-oomd
